ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
190,Anschluss of Austria (1938) (Nature),"The Anschluss was the annexation of Austria by Nazi Germany through military pressure, political intimidation, and a rigged plebiscite, violating Austrian sovereignty.","Nazi propaganda, and some Austrian revisionists, claimed the Anschluss was a ""peaceful reunification"" driven by the ""will of the Austrian people"" to join their German brethren.",Germany,1938,Independent historical accounts; Austrian government post-war,LLM
191,Munich Agreement (1938) (Appeasement),"The Munich Agreement was an act of appeasement by Britain and France, granting Nazi Germany the Sudetenland region of Czechoslovakia, which emboldened Hitler and demonstrated Western weakness.","British Prime Minister Neville Chamberlain presented the agreement as a triumph that secured ""peace for our time,"" avoiding war and resolving the Sudeten crisis peacefully.",Germany,1938,Churchill's speeches; post-war historical analyses,LLM
192,Kristallnacht (1938) (Cause),"Kristallnacht was a state-sponsored pogrom orchestrated by the Nazi regime, involving widespread violence, destruction of Jewish businesses and synagogues, and arrests, ostensibly in retaliation for a German diplomat's assassination.","Nazi propaganda portrayed Kristallnacht as a spontaneous outburst of ""popular rage"" by the German people against Jews, denying state organization and responsibility.",Germany,1938,Holocaust survivor testimonies; police reports; historians,LLM
193,Invasion of Poland (1939) (Justification),"Germany's invasion of Poland was an unprovoked act of aggression that initiated World War II, based on false pretexts and expansionist aims.","Hitler claimed the invasion was a defensive response to Polish aggression and persecution of ethnic Germans, citing fabricated border incidents (e.g., Gleiwitz incident).",Germany,1939,German military records; Nuremberg Trials evidence,LLM
194,German-Soviet Non-Aggression Pact (1939),"The Molotov-Ribbentrop Pact was a secret agreement between Nazi Germany and the Soviet Union to divide Eastern Europe into spheres of influence, including the partition of Poland.","Both Nazi and Soviet propaganda presented the pact as a non-aggression agreement promoting peace, concealing its secret protocols for territorial division.",Germany,1939,Declassified protocols; diplomatic histories,LLM
195,Blitzkrieg Successes (1940) (Cause),"Germany's rapid victories in France and the Low Countries were due to superior military tactics (Blitzkrieg), combined with French and British strategic errors and unpreparedness.","Nazi propaganda presented these victories as proof of the inherent racial superiority of the German soldier and the invincibility of the Wehrmacht, downplaying strategic advantages.",Germany,1940,Military histories of WWII,LLM
196,Battle of Britain (1940) (Outcome),"The Battle of Britain was a decisive air campaign won by the Royal Air Force, preventing a German invasion of Britain and marking Hitler's first major strategic defeat.","Nazi propaganda initially downplayed the extent of Luftwaffe losses and continued to claim air superiority, portraying the campaign as ongoing or a partial success.",Germany,1940,RAF records; Churchill's speeches,LLM
197,Operation Barbarossa (1941) (Goal),"Germany's invasion of the Soviet Union was a war of annihilation aimed at acquiring Lebensraum (living space), destroying Bolshevism, and enslaving/exterminating Slavic peoples.","Hitler claimed the invasion was a pre-emptive strike against an imminent Soviet attack and a crusade against ""Judeo-Bolshevism,"" denying the genocidal and expansionist goals.",Germany,1941,Hitler's directives; Nazi ideological texts,LLM
198,Holocaust (1941-1945) (Existence),"The Holocaust was the systematic, state-sponsored genocide of approximately six million Jews by the Nazi regime and its collaborators, through mass shootings, gas chambers, and forced labor.","Holocaust deniers, including some contemporary revisionists, deny that the Holocaust occurred or vastly exaggerate the number of Jewish deaths, or claim it was not systematic.",Germany,1941-1945,"Vast historical evidence (documents, testimonies, sites)",LLM
199,Einsatzgruppen Massacres (1941-1943) (Role),"The Einsatzgruppen were SS mobile killing squads responsible for mass shootings of Jews, Roma, and communists in Eastern Europe, often preceding the death camps.","Nazi records used euphemisms like ""resettlement"" or ""special treatment"" to conceal the nature of these mass murders; later deniers minimize their scale or intent.",Germany,1941-1943,Einsatzgruppen reports; survivor testimonies; Nuremberg Trials,LLM
200,Wannsee Conference (1942) (Purpose),"The Wannsee Conference was a meeting of senior Nazi officials to coordinate and implement the ""Final Solution to the Jewish Question"" – the systematic extermination of European Jews.","The official minutes used coded language (""evacuation to the East"") to obscure the genocidal plan, which later allowed deniers to claim the meeting was about ""resettlement.""",Germany,1942,Wannsee Protocol; historical analyses,LLM
201,Stalingrad Defeat (1943) (Impact),"The Battle of Stalingrad was a catastrophic defeat for Germany, marking a turning point on the Eastern Front and the beginning of the end for the Wehrmacht.","Nazi propaganda initially presented the battle as a heroic struggle and later downplayed the scale of the defeat, focusing on the ""sacrifice"" of the soldiers and blaming external factors (e.g., weather).",Germany,1943,Military histories; German casualty records,LLM
202,Dresden Bombing (1945) (Justification),"The Allied bombing of Dresden caused massive destruction and a large loss of civilian life, but it was part of a legitimate strategic bombing campaign targeting transportation infrastructure and industrial centers.","Some Nazi propagandists and later revisionists exaggerated civilian casualties and claimed it was an unjustifiable act of ""terror bombing"" or a war crime, equating it with Nazi atrocities.",Germany,1945,Allied war records; historical analyses; Goebbels' propaganda,LLM
203,German Resistance (Effectiveness),"The German resistance to Hitler, while existing, was fragmented, largely ineffective, and posed no serious threat to the regime's power.","Post-war German narratives sometimes overemphasized the scale and effectiveness of the resistance (e.g., July Plot), aiming to distance the German people from Nazi crimes.",Germany,1933-1945,Historical analyses of the resistance; Gestapo files,LLM
204,Concentration Camps (Purpose),"Nazi concentration and extermination camps (e.g., Auschwitz-Birkenau) were sites of systematic torture, slave labor, and mass murder, primarily of Jews, Roma, political opponents, and POWs.","Nazi propaganda described them as ""re-education camps"" or ""work camps"" for undesirable elements, concealing their genocidal purpose and brutal conditions.",Germany,1933-1945,Survivor testimonies; camp records; Nuremberg Trials,LLM
205,Nazi Doctor Experiments (Justification),"Nazi doctors conducted horrific and unethical medical experiments on concentration camp prisoners, often resulting in torture, permanent injury, or death.","Nazi ideology justified these experiments as scientific research necessary for racial hygiene or military advantage, dismissing the humanity of the victims.",Germany,1939-1945,Nuremberg Medical Trials; academic research,LLM
206,Role of Ordinary Germans (Complicity),"Many ordinary Germans, even if not active Nazis, were complicit through passive acceptance, benefit from Nazi policies (e.g., Aryanization), or participation in atrocities.","The ""clean Wehrmacht"" myth and other post-war narratives sought to distance the average German from the regime's crimes, blaming only a small cadre of Nazi leaders.",Germany,1933-1945,"Goldhagen, Hitler's Willing Executioners (1996); Browning, Ordinary Men (1992)",LLM
207,Hitler's Suicide (Circumstances),"Adolf Hitler committed suicide in his bunker in Berlin on April 30, 1945, as Soviet forces closed in, ending his life to avoid capture.","Some conspiracy theories claim Hitler escaped Berlin and lived elsewhere, often fueled by Soviet disinformation or far-right attempts to deny his ultimate defeat.",Germany,1945,"Eyewitness accounts (servants, aides); forensic evidence",LLM
